county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population,FIPs,climate_zone,matched_station_fip,distance
St. Francois,St. Francois,St. Francois County,29187,MO,Missouri,37.8103,-90.4723,67168,G2901870,4A,G2901870,4.538446126
Laurens,Laurens,Laurens County,45059,SC,South Carolina,34.4834,-82.0057,67148,G4500590,3A,G4500590,4.336640876
Belmont,Belmont,Belmont County,39013,OH,Ohio,40.0158,-80.9885,67077,G3900130,5A,G5400690,26.09053399
Muskogee,Muskogee,Muskogee County,40101,OK,Oklahoma,35.6161,-95.3795,66881,G4001010,3A,G4001010,3.104884369
Grant,Grant,Grant County,18053,IN,Indiana,40.5158,-85.6547,66802,G1800530,5A,G1800350,26.55305069
Rice,Rice,Rice County,27131,MN,Minnesota,44.3543,-93.2967,66795,G2701310,6A,G2701310,1.885128857
Spalding,Spalding,Spalding County,13255,GA,Georgia,33.2609,-84.2841,66722,G1302550,3A,G1302930,21.20393351
Wayne,Wayne,Wayne County,18177,IN,Indiana,39.8644,-85.0098,66588,G1801770,5A,G1800350,36.87432003
Ionia,Ionia,Ionia County,26067,MI,Michigan,42.9451,-85.0746,66564,G2600670,5A,G2600810,30.87378712
Apache,Apache,Apache County,4001,AZ,Arizona,35.3955,-109.4888,66473,G0400010,5B,G0400010,34.71618383
Montcalm,Montcalm,Montcalm County,26117,MI,Michigan,43.311,-85.1525,66430,G2601170,5A,G2600570,32.13726411
Marquette,Marquette,Marquette County,26103,MI,Michigan,46.4313,-87.6416,66380,G2601030,6A,G2600430,53.54551373
Wilkes,Wilkes,Wilkes County,37193,NC,North Carolina,36.2062,-81.163,66335,G3701930,4A,G3701930,4.643621164
Harrison,Harrison,Harrison County,54033,WV,West Virginia,39.2835,-80.3799,66222,G5400330,5A,G5400330,10.473109
Armstrong,Armstrong,Armstrong County,42005,PA,Pennsylvania,40.8121,-79.4646,65967,G4200050,5A,G4200630,28.09677881
Crow Wing,Crow Wing,Crow Wing County,27035,MN,Minnesota,46.4825,-94.0709,65879,G2700350,7,G2700350,6.783435444
Adams,Adams,Adams County,17001,IL,Illinois,39.9879,-91.1885,65878,G1700010,5A,G1700010,3.123792758
Chippewa,Chippewa,Chippewa County,55017,WI,Wisconsin,45.0694,-91.2799,65877,G5500170,6A,G5500170,20.07897168
Warren,Warren,Warren County,36113,NY,New York,43.561,-73.846,65692,G3601130,6A,G3601130,22.31092101
Isabella,Isabella,Isabella County,26073,MI,Michigan,43.6406,-84.8468,65623,G2600730,6A,G2600730,7.702776618
Jefferson,Jefferson,Jefferson County,39081,OH,Ohio,40.385,-80.761,65620,G3900810,5A,G5400690,16.46663531
Starr,Starr,Starr County,48427,TX,Texas,26.5621,-98.7387,65568,G4804270,2A,G4802150,42.51931564
Marion,Marion,Marion County,39101,OH,Ohio,40.5872,-83.1609,65515,G3901010,5A,G3901010,6.992085044
Sauk,Sauk,Sauk County,55111,WI,Wisconsin,43.4267,-89.9482,65428,G5501110,6A,G5501110,13.91656475
Tehama,Tehama,Tehama County,6103,CA,California,40.1256,-122.2341,65345,G0601030,3B,G0601030,2.014386924
Walker,Walker,Walker County,1127,AL,Alabama,33.8033,-87.2973,65194,G0101270,3A,G0101330,38.30181635
Chaves,Chaves,Chaves County,35005,NM,New Mexico,33.3633,-104.4669,65014,G3500050,3B,G3500050,6.345274769
Columbia,Columbia,Columbia County,42037,PA,Pennsylvania,41.0486,-76.4052,65013,G4200370,5A,G4201090,35.42418954
Kershaw,Kershaw,Kershaw County,45055,SC,South Carolina,34.3388,-80.5902,64989,G4500550,3A,G4500850,26.77965993
Clay,Clay,Clay County,27027,MN,Minnesota,46.8923,-96.4907,64975,G2700270,7,G2700270,12.47473481
Mason,Mason,Mason County,53045,WA,Washington,47.3484,-123.1927,64964,G5300450,4C,G5300450,8.431914373
Nacogdoches,Nacogdoches,Nacogdoches County,48347,TX,Texas,31.616,-94.6159,64822,G4803470,3A,G4803470,7.019318727
Carbon,Carbon,Carbon County,42025,PA,Pennsylvania,40.9182,-75.7088,64792,G4200250,5A,G4200770,26.59258991
Salem,Salem,Salem County,34033,NJ,New Jersey,39.5876,-75.3491,64752,G3400330,4A,G4201010,21.57346094
Pulaski,Pulaski,Pulaski County,21199,KY,Kentucky,37.1039,-84.5773,64717,G2101990,4A,G2101990,4.422658854
Coos,Coos,Coos County,41011,OR,Oregon,43.1742,-124.0594,64619,G4100110,4C,G4100110,19.18781421
Rutherford,Rutherford,Rutherford County,37161,NC,North Carolina,35.4026,-81.9198,64592,G3701610,4A,G3701610,2.047401723
Liberty,Liberty,Liberty County,13179,GA,Georgia,31.8282,-81.4949,64334,G1301790,2A,G1301790,6.259649466
Hamblen,Hamblen,Hamblen County,47063,TN,Tennessee,36.2171,-83.2667,64184,G4700630,4A,G2100130,42.48482656
Lamar,Lamar,Lamar County,28073,MS,Mississippi,31.206,-89.5087,63610,G2800730,3A,G2800350,18.45078303
Warrick,Warrick,Warrick County,18173,IN,Indiana,38.0922,-87.2721,63575,G1801730,4A,G1801630,18.30284279
Effingham,Effingham,Effingham County,13103,GA,Georgia,32.3674,-81.3414,63448,G1301030,2A,G1302510,26.10454217
Darlington,Darlington,Darlington County,45031,SC,South Carolina,34.3325,-79.9577,63433,G4500310,3A,G4500310,9.630511463
Belknap,Belknap,Belknap County,33001,NH,New Hampshire,43.5179,-71.4227,63395,G3300010,6A,G3300010,3.688873798
San Benito,San Benito,San Benito County,6069,CA,California,36.6057,-121.075,63329,G0600690,3C,G0600690,31.20795068
Pope,Pope,Pope County,5115,AR,Arkansas,35.4477,-93.0345,63234,G0501150,3A,G0501150,13.77218952
Lincoln,Lincoln,Lincoln County,46083,SD,South Dakota,43.2789,-96.7218,63233,G4600830,6A,G4600990,21.07172792
Georgetown,Georgetown,Georgetown County,45043,SC,South Carolina,33.4342,-79.3324,62992,G4500430,3A,G4500430,8.495660086
Athens,Athens,Athens County,39009,OH,Ohio,39.3339,-82.0452,62933,G3900090,5A,G3900090,15.40835566
Lee,Lee,Lee County,37105,NC,North Carolina,35.4752,-79.1715,62676,G3701050,4A,G3701050,8.851397654
Garfield,Garfield,Garfield County,40047,OK,Oklahoma,36.3791,-97.7827,62628,G4000470,3A,G4000470,0.270549761
Hall,Hall,Hall County,31079,NE,Nebraska,40.8726,-98.5022,62616,G3100790,5A,G3100790,13.9045638
Knox,Knox,Knox County,39083,OH,Ohio,40.3988,-82.4215,62399,G3900830,5A,G3900830,8.021596384
Livingston,Livingston,Livingston County,36051,NY,New York,42.7281,-77.7755,62253,G3600510,5A,G3600510,11.88404073
Walla Walla,Walla Walla,Walla Walla County,53071,WA,Washington,46.2298,-118.4784,62168,G5300710,5B,G5300710,16.19241146
Stanly,Stanly,Stanly County,37167,NC,North Carolina,35.3119,-80.251,62148,G3701670,3A,G3701670,10.03428255
Laurel,Laurel,Laurel County,21125,KY,Kentucky,37.1107,-84.1178,62090,G2101250,4A,G2101250,3.263594625
Reno,Reno,Reno County,20155,KS,Kansas,37.953,-98.086,62071,G2001550,4A,G2001550,17.38414921
Barry,Barry,Barry County,26015,MI,Michigan,42.595,-85.309,62014,G2600150,5A,G2600250,20.25235122
Union,Union,Union County,39159,OH,Ohio,40.2994,-83.3716,61769,G3901590,5A,G3901590,5.321630125
Haywood,Haywood,Haywood County,37087,NC,North Carolina,35.556,-82.9822,61695,G3700870,4A,G3700890,31.06884453
Columbia,Columbia,Columbia County,36021,NY,New York,42.2501,-73.6318,61587,G3600210,5A,G2500030,26.68153792
Washington,Washington,Washington County,36115,NY,New York,43.3137,-73.4308,61504,G3601150,6A,G3601130,12.53895397
Garfield,Garfield,Garfield County,8045,CO,Colorado,39.5993,-107.904,61221,G0800450,5B,G0801030,30.77623497
Eddy,Eddy,Eddy County,35015,NM,New Mexico,32.4714,-104.3044,61096,G3500150,3B,G3500150,10.03087539
Tipton,Tipton,Tipton County,47167,TN,Tennessee,35.4973,-89.7566,60868,G4701670,3A,G4701570,12.73233535
Granville,Granville,Granville County,37077,NC,North Carolina,36.304,-78.6527,60854,G3700770,4A,G3700770,9.420663122
Pittsylvania,Pittsylvania,Pittsylvania County,51143,VA,Virginia,36.8213,-79.3971,60833,G5101430,4A,G5105900,17.68659198
St. Joseph,St. Joseph,St. Joseph County,26149,MI,Michigan,41.9144,-85.5278,60828,G2601490,5A,G2601490,5.503221793
Rutland,Rutland,Rutland County,50021,VT,Vermont,43.5802,-73.0364,60662,G5000210,6A,G5000210,7.404207643
Herkimer,Herkimer,Herkimer County,36043,NY,New York,43.4193,-74.9624,60596,G3600430,6A,G3600650,33.6352922
